Rk,Player,Nation,Pos,Squad,Comp,Age,Born,Playing Time MP,Playing Time Starts,Playing Time Min,Playing Time 90s,Performance Gls,Performance Ast,Performance G-PK,Performance PK,Performance PKatt,Performance CrdY,Performance CrdR,Per 90 Minutes Gls,Per 90 Minutes Ast,Per 90 Minutes G+A,Per 90 Minutes G-PK,Per 90 Minutes G+A-PK,Expected xG,Expected npxG,Expected xA,Expected npxG+xA,Per 90 Minutes xG,Per 90 Minutes xA,Per 90 Minutes xG+xA,Per 90 Minutes npxG,Per 90 Minutes npxG+xA
21,Martin Agirregabiria\Martin-Agirregabiria,es ESP,DF,Alavés,es La Liga,22,1996,27,23,2032,22.6,0,0,0,0,0,4,0,0,0,0,0,0,0.1,0.1,0.4,0.6,0.01,0.02,0.02,0.01,0.02
22,Nayef Aguerd\Nayef-Aguerd,ma MAR,DF,Dijon,fr Ligue 1,22,1996,13,12,1050,11.7,3,0,3,0,0,4,1,0.26,0,0.26,0.26,0.26,1.5,1.5,0.1,1.6,0.13,0,0.14,0.13,0.14
23,Sergio Agüero\Sergio-Aguero,ar ARG,FW,Manchester City,eng Premier League,30,1988,33,31,2459,27.3,21,8,19,2,2,4,0,0.77,0.29,1.06,0.7,0.99,20.7,19.2,5.5,24.7,0.76,0.2,0.96,0.7,0.91
24,Ruben Aguilar\Ruben-Aguilar,fr FRA,DFMF,Montpellier,fr Ligue 1,25,1993,29,29,2528,28.1,1,4,1,0,0,8,0,0.04,0.14,0.18,0.04,0.18,0.7,0.7,3.2,4,0.03,0.11,0.14,0.03,0.14
25,Juan Aguilera\Juan-Aguilera,es ESP,MF,Huesca,es La Liga,32,1985,6,4,344,3.8,0,0,0,0,0,1,0,0,0,0,0,0,0.5,0.5,0,0.6,0.13,0.01,0.15,0.13,0.15
26,Emmanuel Agyemang-Badu\Emmanuel-Agyemang-Badu,gh GHA,MF,Udinese,it Serie A,27,1990,4,2,161,1.8,0,0,0,0,0,0,0,0,0,0,0,0,0.3,0.3,0,0.3,0.16,0.01,0.17,0.16,0.17
27,Jean-Eudes Aholou\Jean-Eudes-Aholou,ci CIV,MF,Monaco,fr Ligue 1,24,1994,17,12,1075,11.9,0,1,0,0,0,2,0,0,0.08,0.08,0,0.08,0.6,0.6,0.2,0.8,0.05,0.01,0.07,0.05,0.07
28,Antonis Aidonis\Antonis-Aidonis,de GER,DF,Stuttgart,de Bundesliga,17,2001,2,1,80,0.9,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29,Ola Aina\Ola-Aina,ng NGA,DFMF,Torino,it Serie A,21,1996,30,22,2160,24,1,3,1,0,0,5,1,0.04,0.12,0.17,0.04,0.17,1.9,1.9,2.1,4.1,0.08,0.09,0.17,0.08,0.17
30,Youssef Aït Bennasser\Youssef-Ait-Bennasser,ma MAR,MF,Saint-Étienne,fr Ligue 1,22,1996,13,11,936,10.4,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0.2,0.4,0.7,0.02,0.04,0.06,0.02,0.06
31,Youssef Aït Bennasser\Youssef-Ait-Bennasser,ma MAR,MF,Monaco,fr Ligue 1,22,1996,13,12,1073,11.9,0,2,0,0,0,2,0,0,0.17,0.17,0,0.17,0.4,0.4,1,1.4,0.03,0.08,0.11,0.03,0.11
32,Rayan Aït Nouri\Rayan-Ait-Nouri,fr FRA,DF,Angers,fr Ligue 1,17,2001,3,0,57,0.6,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
33,Ludovic Ajorque\Ludovic-Ajorque,re REU,FW,Strasbourg,fr Ligue 1,24,1994,25,18,1531,17,9,1,9,0,0,5,0,0.53,0.06,0.59,0.53,0.59,5.8,5.8,1,6.8,0.34,0.06,0.4,0.34,0.4
34,Manuel Akanji\Manuel-Akanji,ch SUI,DF,Dortmund,de Bundesliga,23,1995,25,25,2205,24.5,1,0,1,0,0,1,0,0.04,0,0.04,0.04,0.04,0.8,0.8,0.4,1.2,0.03,0.01,0.05,0.03,0.05
35,Carlos Akapo\Carlos-Akapo,gq EQG,DF,Huesca,es La Liga,25,1993,13,12,1023,11.4,0,0,0,0,0,2,0,0,0,0,0,0,0.3,0.3,0.3,0.7,0.03,0.03,0.06,0.03,0.06
36,Nathan Aké\Nathan-Ake,nl NED,DF,Bournemouth,eng Premier League,23,1995,38,38,3411,37.9,4,0,4,0,0,3,0,0.11,0,0.11,0.11,0.11,3.4,3.4,0.8,4.2,0.09,0.02,0.11,0.09,0.11
37,Sergio Akieme\Sergio-Akieme,es ESP,DF,Rayo Vallecano,es La Liga,20,1997,2,2,180,2,0,1,0,0,0,0,0,0,0.5,0.5,0,0.5,0,0,0.1,0.1,0,0.03,0.03,0,0.03
38,Chadrac Akolo\Chadrac-Akolo,cd COD,MFFW,Stuttgart,de Bundesliga,23,1995,16,5,525,5.8,0,1,0,0,0,0,0,0,0.17,0.17,0,0.17,0.9,0.9,0.3,1.2,0.16,0.05,0.2,0.16,0.2
39,Kevin Akpoguma\Kevin-Akpoguma,ng NGA,DF,Hoffenheim,de Bundesliga,23,1995,8,5,499,5.5,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
40,Kevin Akpoguma\Kevin-Akpoguma,ng NGA,DF,Hannover 96,de Bundesliga,23,1995,4,4,313,3.5,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
41,David Alaba\David-Alaba,at AUT,DF,Bayern Munich,de Bundesliga,26,1992,31,29,2530,28.1,3,3,3,0,0,4,0,0.11,0.11,0.21,0.11,0.21,2.2,2.2,4.9,7.1,0.08,0.18,0.25,0.08,0.25
42,Sofiane Alakouch\Sofiane-Alakouch,fr FRA,DF,Nîmes,fr Ligue 1,20,1998,25,23,1895,21.1,1,0,1,0,0,4,0,0.05,0,0.05,0.05,0.05,0.6,0.6,1.8,2.4,0.03,0.09,0.11,0.03,0.11
43,Lucas Alario\Lucas-Alario,ar ARG,FW,Leverkusen,de Bundesliga,25,1992,27,11,1265,14.1,9,3,9,0,0,1,0,0.64,0.21,0.85,0.64,0.85,7.8,7.8,1.9,9.7,0.55,0.14,0.69,0.55,0.69
44,Jordi Alba\Jordi-Alba,es ESP,DF,Barcelona,es La Liga,29,1989,36,32,2991,33.2,2,8,2,0,0,6,0,0.06,0.24,0.3,0.06,0.3,1.8,1.8,5.1,6.9,0.05,0.15,0.21,0.05,0.21
45,Luis Alberto\Luis-Alberto,es ESP,MFFW,Lazio,it Serie A,25,1992,27,25,1990,22.1,4,5,3,1,1,5,1,0.18,0.23,0.41,0.14,0.36,4.6,3.8,6.1,9.9,0.21,0.28,0.48,0.17,0.45
46,Raúl Albiol\Raul-Albiol,es ESP,DF,Napoli,it Serie A,32,1985,20,19,1713,19,1,0,1,0,0,4,0,0.05,0,0.05,0.05,0.05,0.2,0.2,1,1.2,0.01,0.05,0.06,0.01,0.06
47,Miiko Albornoz\Miiko-Albornoz,cl CHI,DFMF,Hannover 96,de Bundesliga,27,1990,22,19,1660,18.4,1,3,1,0,0,3,1,0.05,0.16,0.22,0.05,0.22,0.3,0.3,1.4,1.7,0.02,0.08,0.09,0.02,0.09
48,Marc Albrighton\Marc-Albrighton,eng ENG,FWMF,Leicester City,eng Premier League,28,1989,27,18,1625,18.1,2,2,2,0,0,3,0,0.11,0.11,0.22,0.11,0.22,1.1,1.1,3.1,4.1,0.06,0.17,0.23,0.06,0.23
49,Paco Alcácer\Paco-Alcacer,es ESP,FW,Dortmund,de Bundesliga,24,1993,26,11,1211,13.5,18,0,17,1,1,0,0,1.34,0,1.34,1.26,1.26,9.1,8.3,2.5,10.8,0.68,0.18,0.86,0.62,0.8
50,Pedro Alcalá\Pedro-Alcala,es ESP,DF,Girona,es La Liga,29,1989,25,20,1868,20.8,1,1,1,0,0,9,0,0.05,0.05,0.1,0.05,0.1,0.9,0.9,0.3,1.2,0.04,0.02,0.06,0.04,0.06
51,Thiago Alcántara\Thiago-Alcantara,es ESP,MF,Bayern Munich,de Bundesliga,27,1991,30,26,2408,26.8,2,6,2,0,0,5,0,0.07,0.22,0.3,0.07,0.3,2.2,2.2,2.8,5,0.08,0.11,0.19,0.08,0.19
52,Rubén Alcaraz\Ruben-Alcaraz,es ESP,MF,Valladolid,es La Liga,27,1991,34,34,2976,33.1,3,2,3,0,1,13,0,0.09,0.06,0.15,0.09,0.15,3.3,2.6,1.3,3.9,0.1,0.04,0.14,0.08,0.12
53,Toby Alderweireld\Toby-Alderweireld,be BEL,DF,Tottenham,eng Premier League,29,1989,34,33,2922,32.5,0,0,0,0,0,3,0,0,0,0,0,0,1.1,1.1,0.6,1.7,0.03,0.02,0.05,0.03,0.05
54,Álex Alegría\Alex-Alegria,es ESP,FWMF,Rayo Vallecano,es La Liga,25,1992,9,0,140,1.6,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0.2,0.3,0.5,0.15,0.17,0.32,0.15,0.32
55,Alexis Alegue\Alexis-Alegue,fr FRA,FW,Nantes,fr Ligue 1,21,1996,1,0,5,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
56,Iván Alejo\Ivan-Alejo,es ESP,MFFW,Getafe,es La Liga,23,1995,4,2,146,1.6,0,0,0,0,0,2,1,0,0,0,0,0,0.1,0.1,0.1,0.2,0.04,0.09,0.13,0.04,0.13
57,Carles Aleñá\Carles-Alena,es ESP,MF,Barcelona,es La Liga,20,1998,17,6,637,7.1,2,0,2,0,0,2,0,0.28,0,0.28,0.28,0.28,1.5,1.5,0.7,2.1,0.21,0.09,0.3,0.21,0.3
58,Rúnar Alex Rúnarsson\Runar-Alex-Runarsson,is ISL,GK,Dijon,fr Ligue 1,23,1995,25,25,2250,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
59,Alexander\Alexander,ar ARG,DF,Leganés,es La Liga,29,1988,1,0,10,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
60,Trent Alexander-Arnold\Trent-Alexander-Arnold,eng ENG,DF,Liverpool,eng Premier League,19,1998,29,27,2462,27.4,1,12,1,0,0,3,0,0.04,0.44,0.48,0.04,0.48,1.5,1.5,6.2,7.6,0.05,0.23,0.28,0.05,0.28
61,Rachid Alioui\Rachid-Alioui,ma MAR,FW,Nîmes,fr Ligue 1,26,1992,27,11,1252,13.9,5,0,5,0,0,1,0,0.36,0,0.36,0.36,0.36,5.3,5.3,1.2,6.5,0.38,0.09,0.47,0.38,0.47
62,Alisson\Alisson,br BRA,GK,Liverpool,eng Premier League,25,1992,38,38,3420,38,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
63,Bobby Allain\Bobby-Allain,fr FRA,GK,Dijon,fr Ligue 1,26,1991,13,13,1170,13,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
64,Allan\Allan,br BRA,MFDF,Eint Frankfurt,de Bundesliga,21,1997,4,2,176,2,0,0,0,0,0,1,0,0,0,0,0,0,0.1,0.1,0,0.1,0.05,0.01,0.06,0.05,0.06
65,Allan\Allan,br BRA,MF,Napoli,it Serie A,27,1991,33,28,2616,29.1,1,3,1,0,0,10,0,0.03,0.1,0.14,0.03,0.14,1.1,1.1,3.3,4.4,0.04,0.11,0.15,0.04,0.15
66,Dele Alli\Dele-Alli,eng ENG,MFFW,Tottenham,eng Premier League,22,1996,25,22,1825,20.3,5,3,5,0,0,4,0,0.25,0.15,0.39,0.25,0.39,5.3,5.3,2.4,7.7,0.26,0.12,0.38,0.26,0.38
67,Miguel Almirón\Miguel-Almiron,py PAR,FWMF,Newcastle Utd,eng Premier League,24,1994,10,9,759,8.4,0,0,0,0,0,0,0,0,0,0,0,0,1.7,1.6,0.8,2.5,0.2,0.1,0.3,0.19,0.29
68,Júnior Alonso\Junior-Alonso,py PAR,DFMF,Celta Vigo,es La Liga,25,1993,9,6,536,6,0,0,0,0,0,2,0,0,0,0,0,0,0.4,0.4,0.2,0.6,0.06,0.04,0.1,0.06,0.1
69,Marcos Alonso\Marcos-Alonso,es ESP,DF,Chelsea,eng Premier League,27,1990,31,31,2759,30.7,2,4,2,0,0,6,0,0.07,0.13,0.2,0.07,0.2,2.7,2.7,3.9,6.6,0.09,0.13,0.22,0.09,0.22
70,Mickaël Alphonse\Mickael-Alphonse,GPE,DF,Dijon,fr Ligue 1,29,1989,11,6,571,6.3,1,0,1,0,0,0,0,0.16,0,0.16,0.16,0.16,0.3,0.3,0.4,0.7,0.04,0.07,0.11,0.04,0.11
71,Sergio Álvarez\Sergio-Alvarez,es ESP,GK,Celta Vigo,es La Liga,31,1986,13,13,1170,13,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
72,Sergio Álvarez\Sergio-Alvarez,es ESP,MFDF,Eibar,es La Liga,26,1992,19,12,1069,11.9,0,0,0,0,0,1,0,0,0,0,0,0,0.2,0.2,0,0.3,0.02,0,0.02,0.02,0.02
73,Yeray Álvarez\Yeray-Alvarez,es ESP,DF,Athletic Club,es La Liga,23,1995,30,30,2613,29,0,0,0,0,0,10,0,0,0,0,0,0,1.4,1,0,1.1,0.05,0,0.05,0.04,0.04
74,Bruno Alves\Bruno-Alves,pt POR,DF,Parma,it Serie A,36,1981,33,33,2922,32.5,4,1,4,0,0,9,1,0.12,0.03,0.15,0.12,0.15,2.2,2.2,1.3,3.5,0.07,0.04,0.11,0.07,0.11
75,Dani Alves\Dani-Alves,br BRA,MFDF,Paris S-G,fr Ligue 1,35,1983,23,19,1622,18,1,7,1,0,0,4,0,0.06,0.39,0.44,0.06,0.44,2.2,2.2,7,9.2,0.12,0.39,0.51,0.12,0.51
76,Alfons Amade\Alfons-Amade,de GER,MF,Hoffenheim,de Bundesliga,18,1999,1,0,9,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0.1,0,0.1,0.78,0,0.78,0.78,0.78
77,Ibrahim Amadou\Ibrahim-Amadou,fr FRA,MFDF,Sevilla,es La Liga,25,1993,17,7,762,8.5,0,0,0,0,0,2,0,0,0,0,0,0,0.8,0.8,0.1,0.8,0.09,0.01,0.1,0.09,0.1
78,Romain Amalfitano\Romain-Amalfitano,fr FRA,MFFW,Dijon,fr Ligue 1,28,1989,32,30,2522,28,0,0,0,0,0,3,1,0,0,0,0,0,0.6,0.6,0.9,1.6,0.02,0.03,0.06,0.02,0.06
79,Daniel Amartey\Daniel-Amartey,gh GHA,DF,Leicester City,eng Premier League,23,1994,9,7,641,7.1,0,0,0,0,0,2,0,0,0,0,0,0,0.4,0.4,0.2,0.5,0.05,0.02,0.08,0.05,0.08
80,Jordi Amat\Jordi-Amat,es ESP,DF,Rayo Vallecano,es La Liga,26,1992,31,31,2763,30.7,0,0,0,0,0,9,0,0,0,0,0,0,0.7,0.7,0.1,0.8,0.02,0,0.03,0.02,0.03
81,Amath\Amath,sn SEN,MFFW,Getafe,es La Liga,22,1996,15,13,1002,11.1,1,2,1,0,0,4,0,0.09,0.18,0.27,0.09,0.27,1.6,1.6,0.7,2.3,0.14,0.07,0.21,0.14,0.21
82,Jordan Amavi\Jordan-Amavi,fr FRA,DF,Marseille,fr Ligue 1,24,1994,28,24,2177,24.2,0,2,0,0,0,7,2,0,0.08,0.08,0,0.08,0.6,0.6,1.9,2.5,0.02,0.08,0.1,0.02,0.1
83,Kelvin Amian\Kelvin-Amian,fr FRA,DF,Toulouse,fr Ligue 1,20,1998,32,32,2880,32,0,1,0,0,0,6,0,0,0.03,0.03,0,0.03,0.5,0.5,0.7,1.2,0.02,0.02,0.04,0.02,0.04
84,Nadiem Amiri\Nadiem-Amiri,de GER,MFFW,Hoffenheim,de Bundesliga,21,1996,13,10,754,8.4,3,1,3,0,0,1,0,0.36,0.12,0.48,0.36,0.48,2.2,2.2,1.7,3.9,0.26,0.21,0.47,0.26,0.47
85,Yanis Ammour\Yanis-Ammour,fr FRA,MF,Montpellier,fr Ligue 1,19,1999,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
86,Luke Amos\Luke-Amos,eng ENG,MF,Tottenham,eng Premier League,21,1997,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
87,Joachim Andersen\Joachim-Andersen,dk DEN,DF,Sampdoria,it Serie A,22,1996,32,32,2880,32,0,1,0,0,0,7,0,0,0.03,0.03,0,0.03,0.9,0.9,0.5,1.5,0.03,0.02,0.05,0.03,0.05
88,Felipe Anderson\Felipe-Anderson,br BRA,FWMF,West Ham,eng Premier League,25,1993,36,36,3043,33.8,9,4,9,0,0,3,0,0.27,0.12,0.38,0.27,0.38,5.2,5.2,6.7,11.9,0.16,0.2,0.35,0.16,0.35
89,Florin Andone\Florin-Andone,ro ROU,FW,Brighton,eng Premier League,25,1993,23,8,881,9.8,3,0,3,0,0,5,0,0.31,0,0.31,0.31,0.31,2.2,2.2,0.1,2.3,0.23,0.01,0.24,0.23,0.24
90,Benjamin André\Benjamin-Andre,fr FRA,MF,Rennes,fr Ligue 1,27,1990,30,28,2495,27.7,3,1,3,0,0,8,1,0.11,0.04,0.14,0.11,0.14,3.3,3.3,1.3,4.6,0.12,0.05,0.16,0.12,0.16
91,Marco Andreolli\Marco-Andreolli,it ITA,DF,Cagliari,it Serie A,32,1986,3,1,106,1.2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.02,0,0.02,0.02,0.02
92,Marco Andreolli\Marco-Andreolli,it ITA,DF,Chievo,it Serie A,32,1986,8,7,646,7.2,0,0,0,0,0,2,0,0,0,0,0,0,0.2,0.2,0,0.2,0.03,0,0.03,0.03,0.03
93,Yoann Andreu\Yoann-Andreu,fr FRA,DF,Angers,fr Ligue 1,29,1989,1,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
94,Miguel Ángel Moyá\Miguel-Angel-Moya,es ESP,GK,Real Sociedad,es La Liga,34,1984,11,11,990,11,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
95,José Ángel\Jose-Angel,es ESP,DF,Eibar,es La Liga,28,1989,35,34,3028,33.6,1,1,1,0,0,10,0,0.03,0.03,0.06,0.03,0.06,0.7,0.7,3.6,4.3,0.02,0.11,0.13,0.02,0.13
96,Cristian Ansaldi\Cristian-Ansaldi,ar ARG,DFMF,Torino,it Serie A,31,1986,24,23,1807,20.1,3,2,3,0,0,3,0,0.15,0.1,0.25,0.15,0.25,1.4,1.4,2.6,4,0.07,0.13,0.2,0.07,0.2
97,Mirco Antenucci\Mirco-Antenucci,it ITA,FW,SPAL,it Serie A,33,1984,35,22,2133,23.7,5,0,4,1,2,0,0,0.21,0,0.21,0.17,0.17,6.7,5.1,1.5,6.6,0.28,0.06,0.34,0.22,0.28
98,Waldemar Anton\Waldemar-Anton,de GER,DF,Hannover 96,de Bundesliga,22,1996,34,34,3060,34,1,0,1,0,0,4,0,0.03,0,0.03,0.03,0.03,1.2,1.2,0.2,1.4,0.04,0.01,0.04,0.04,0.04
99,Luca Antonelli\Luca-Antonelli,it ITA,DFMF,Empoli,it Serie A,31,1987,13,10,755,8.4,0,1,0,0,0,1,0,0,0.12,0.12,0,0.12,0.8,0.8,0.2,1,0.09,0.03,0.12,0.09,0.12
100,Mauro Antonio Burruchaga\Mauro-Antonio-Burruchaga,ar ARG,MF,Chievo,it Serie A,20,1998,1,0,58,0.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02,0,0.02,0.02,0.02
101,Michail Antonio\Michail-Antonio,eng ENG,FWMF,West Ham,eng Premier League,28,1990,33,22,2103,23.4,6,4,6,0,0,3,0,0.26,0.17,0.43,0.26,0.43,7.4,7.4,3.4,10.9,0.32,0.15,0.46,0.32,0.46
102,Antoñito\Antonito,es ESP,DFMF,Valladolid,es La Liga,30,1987,30,18,1863,20.7,2,1,2,0,0,5,0,0.1,0.05,0.14,0.1,0.14,1,1,1.9,2.9,0.05,0.09,0.14,0.05,0.14
103,Vitorino Antunes\Vitorino-Antunes,pt POR,DF,Getafe,es La Liga,31,1987,28,25,2181,24.2,1,3,1,0,0,5,0,0.04,0.12,0.17,0.04,0.17,0.9,0.9,2.7,3.6,0.04,0.11,0.15,0.04,0.15
104,Anuar\Anuar,ma MAR,MF,Valladolid,es La Liga,23,1995,19,12,1081,12,1,0,1,0,0,6,0,0.08,0,0.08,0.08,0.08,2.6,2.6,0.1,2.7,0.22,0.01,0.23,0.22,0.23
105,Dennis Aogo\Dennis-Aogo,de GER,MF,Stuttgart,de Bundesliga,31,1987,15,13,1025,11.4,0,0,0,0,0,1,0,0,0,0,0,0,0.4,0.4,1.3,1.7,0.04,0.11,0.15,0.04,0.15
106,Houssem Aouar\Houssem-Aouar,fr FRA,MF,Lyon,fr Ligue 1,20,1998,37,35,3061,34,7,7,7,0,0,2,0,0.21,0.21,0.41,0.21,0.41,7.3,7.3,3.3,10.6,0.22,0.1,0.31,0.22,0.31
107,Emmanuel Apeh\Emmanuel-Apeh,ng NGA,MF,Celta Vigo,es La Liga,21,1996,2,0,14,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0.1,0,0.43,0.43,0,0.43
108,Mauro Arambarri\Mauro-Arambarri,uy URU,MF,Getafe,es La Liga,22,1995,33,32,2676,29.7,1,2,1,0,0,8,0,0.03,0.07,0.1,0.03,0.1,1.4,1.4,1.6,3,0.05,0.05,0.1,0.05,0.1
109,Guilherme Arana\Guilherme-Arana,br BRA,MFDF,Sevilla,es La Liga,21,1997,9,8,629,7,0,0,0,0,0,3,0,0,0,0,0,0,0.2,0.2,0.1,0.3,0.03,0.02,0.04,0.03,0.04
110,Charles Aránguiz\Charles-Aranguiz,cl CHI,MF,Leverkusen,de Bundesliga,29,1989,24,22,1891,21,2,7,2,0,0,3,0,0.1,0.33,0.43,0.1,0.43,1.4,1.4,2.7,4.1,0.07,0.13,0.19,0.07,0.19
111,Luiz Araújo\Luiz-Araujo,br BRA,FWMF,Lille,fr Ligue 1,22,1996,25,6,781,8.7,3,2,3,0,0,2,1,0.35,0.23,0.58,0.35,0.58,2.4,2.4,1.2,3.6,0.28,0.13,0.41,0.28,0.41
