Rk,Player,Nation,Pos,Squad,Comp,Age,Born,Playing Time MP,Playing Time Starts,Playing Time Min,Playing Time 90s,Performance Gls,Performance Ast,Performance G-PK,Performance PK,Performance PKatt,Performance CrdY,Performance CrdR,Per 90 Minutes Gls,Per 90 Minutes Ast,Per 90 Minutes G+A,Per 90 Minutes G-PK,Per 90 Minutes G+A-PK,Expected xG,Expected npxG,Expected xA,Expected npxG+xA,Per 90 Minutes xG,Per 90 Minutes xA,Per 90 Minutes xG+xA,Per 90 Minutes npxG,Per 90 Minutes npxG+xA
274,Bartosz Bereszyński\Bartosz-Bereszynski,pl POL,DF,Sampdoria,it Serie A,25,1992,31,28,2480,27.6,0,1,0,0,0,5,0,0,0.04,0.04,0,0.04,0.2,0.2,0.7,0.9,0.01,0.03,0.03,0.01,0.03
275,Jóhann Berg Guðmundsson\Johann-Berg-Gudmundsson,is ISL,MFFW,Burnley,eng Premier League,26,1990,35,32,2833,31.5,2,8,2,0,0,2,0,0.06,0.25,0.32,0.06,0.32,3.6,3.6,5,8.6,0.11,0.16,0.27,0.11,0.27
276,Markel Bergara\Markel-Bergara,es ESP,MF,Getafe,es La Liga,31,1986,18,18,1457,16.2,4,0,4,0,0,5,0,0.25,0,0.25,0.25,0.25,3,3,0.1,3.1,0.18,0.01,0.19,0.18,0.19
277,Emil Berggreen\Emil-Berggreen,dk DEN,FW,Mainz 05,de Bundesliga,24,1993,14,6,669,7.4,4,2,4,0,0,2,0,0.54,0.27,0.81,0.54,0.81,2,2,0.4,2.4,0.27,0.06,0.33,0.27,0.33
278,Robert Berić\Robert-Beric,si SVN,FW,Saint-Étienne,fr Ligue 1,26,1991,15,12,1041,11.6,7,1,6,1,2,0,0,0.61,0.09,0.69,0.52,0.61,5.2,3.7,1.1,4.8,0.45,0.1,0.55,0.32,0.42
279,Kévin Bérigaud\Kevin-Berigaud,fr FRA,MFFW,Montpellier,fr Ligue 1,29,1988,5,4,271,3,0,0,0,0,0,0,0,0,0,0,0,0,0.7,0.7,0.8,1.5,0.22,0.27,0.49,0.22,0.49
280,Etrit Berisha\Etrit-Berisha,al ALB,GK,Atalanta,it Serie A,28,1989,31,31,2790,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
281,Federico Bernardeschi\Federico-Bernardeschi,it ITA,FWMF,Juventus,it Serie A,23,1994,22,7,847,9.4,4,3,4,0,0,4,0,0.43,0.32,0.74,0.43,0.74,3,3,2,5.1,0.33,0.22,0.55,0.33,0.55
282,Bernardo\Bernardo,br BRA,DF,RB Leipzig,de Bundesliga,22,1995,18,15,1350,15,1,1,1,0,0,2,0,0.07,0.07,0.13,0.07,0.13,0.6,0.6,0.8,1.4,0.04,0.06,0.09,0.04,0.09
283,Juan Bernat\Juan-Bernat,es ESP,DFFW,Bayern Munich,de Bundesliga,24,1993,11,11,888,9.9,0,2,0,0,0,1,0,0,0.2,0.2,0,0.2,0.7,0.7,1.3,2.1,0.07,0.13,0.21,0.07,0.21
